strategy,total_PnL,abs_PnL,sharpe_annualized,max_drawdown,num_points,approx_trades
Baseline (sign spread),24.225910573183146,1268.5878265561407,1.734531680736543,-3.757136934928093,687013,310
Z-Score + 1m latency,114.75766224959243,889.8954839034071,5.074669026463384,-2.854293517927303,687013,5400
